player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0023459,NYJ,2023,1,-2.0319598843343556,REG,0,0,0,1,1,0
00-0026158,CLE,2023,13,-7.791563930410868,REG,23,1,2,44,2,254
00-0026158,CLE,2023,14,-1.6544217481042307,REG,26,1,3,45,1,311
00-0026158,CLE,2023,15,-17.392163456001864,REG,28,3,2,44,4,374
00-0026158,CLE,2023,16,19.032988064660458,REG,27,2,3,42,0,368
00-0026158,CLE,2023,17,6.1975739089539275,REG,19,1,3,29,1,309
00-0026498,LA,2023,1,20.67998153272862,REG,24,0,0,38,0,334
00-0026498,LA,2023,2,-5.089192700477703,REG,34,2,1,55,1,307
00-0026498,LA,2023,3,-8.404790011332945,REG,18,2,1,33,6,269
00-0026498,LA,2023,4,11.37435107669372,REG,27,1,1,40,2,319
00-0026498,LA,2023,5,-2.536261009518057,REG,21,0,2,37,4,222
00-0026498,LA,2023,6,3.271050272125505,REG,15,0,1,24,3,226
00-0026498,LA,2023,7,-3.590840504016092,REG,14,1,1,29,2,231
00-0026498,LA,2023,8,-4.978713984668223,REG,13,1,1,22,1,162
00-0026498,LA,2023,11,-4.574814941957867,REG,17,1,1,31,1,190
00-0026498,LA,2023,12,13.204231557474376,REG,25,1,4,33,0,229
00-0026498,LA,2023,13,5.319123742495321,REG,22,0,3,37,0,279
00-0026498,LA,2023,14,6.54873018331353,REG,23,0,3,41,2,294
00-0026498,LA,2023,15,7.874736452077675,REG,25,0,2,33,3,258
00-0026498,LA,2023,16,15.034519595255833,REG,24,0,2,34,1,328
00-0026498,LA,2023,17,0.8999966169358231,REG,24,2,1,34,4,317
00-0026625,LV,2023,6,4.752259165038733,REG,6,0,0,10,0,102
00-0026625,LV,2023,7,-13.533031918403136,REG,17,2,0,32,1,129
00-0027948,KC,2023,3,-6.706045397208072,REG,3,2,0,5,0,31
00-0027948,KC,2023,18,-9.437241707955698,REG,15,1,0,30,1,154
00-0027973,CAR,2023,3,4.548329591227218,REG,34,0,2,58,3,361
00-0027973,CAR,2023,5,NA,REG,0,0,0,0,0,0
00-0028118,NYG,2023,1,-0.544656885205768,REG,2,0,0,2,0,6
00-0028118,NYG,2023,3,-0.6515430161962286,REG,0,0,0,1,0,0
00-0028118,NYG,2023,5,2.4409939376013767,REG,9,0,0,12,1,86
00-0028118,NYG,2023,6,-2.130479126713199,REG,24,0,0,36,3,200
00-0028118,NYG,2023,7,4.930734614199577,REG,18,0,2,29,4,279
00-0028118,NYG,2023,8,-10.349500579329142,REG,4,0,0,7,2,8
00-0028118,NYG,2023,15,0.40001194594534706,REG,2,0,0,4,0,13
00-0028118,NYG,2023,16,0.5316355136455968,REG,7,1,1,16,0,133
00-0028118,NYG,2023,17,-2.061729279968789,REG,27,1,1,41,6,319
00-0028118,NYG,2023,18,9.55054857267519,REG,23,1,1,32,1,297
00-0028986,HOU,2023,15,-2.5340544037528776,REG,23,1,1,36,3,229
00-0028986,HOU,2023,16,-18.117274977848865,REG,11,2,0,17,3,62
00-0029263,DEN,2023,1,2.355538343570046,REG,27,0,2,34,2,177
00-0029263,DEN,2023,2,3.3465051103927843,REG,18,1,3,32,7,308
00-0029263,DEN,2023,3,2.2087187350008812,REG,23,1,1,38,1,306
00-0029263,DEN,2023,4,14.21806286516332,REG,21,0,3,28,1,223
00-0029263,DEN,2023,5,-10.412276005515249,REG,20,0,2,31,4,196
00-0029263,DEN,2023,6,-18.298592432925943,REG,13,2,1,22,4,95
00-0029263,DEN,2023,7,4.095713499630485,REG,20,0,1,29,1,194
00-0029263,DEN,2023,8,-4.8447875870412584,REG,12,0,3,19,6,114
00-0029263,DEN,2023,10,5.758063172628668,REG,24,0,2,29,4,193
00-0029263,DEN,2023,11,1.4860982910168274,REG,27,0,1,35,2,259
00-0029263,DEN,2023,12,4.45424141373951,REG,13,0,1,22,1,134
00-0029263,DEN,2023,13,-14.968118985611403,REG,15,3,1,26,3,186
00-0029263,DEN,2023,14,-2.21562039923466,REG,21,1,2,33,2,224
00-0029263,DEN,2023,15,-2.3929814262664877,REG,18,0,1,32,2,223
00-0029263,DEN,2023,16,-1.1267621187165258,REG,25,0,2,37,5,238
00-0029604,MIN,2023,1,0.32368977627827666,REG,33,1,2,44,2,344
00-0029604,MIN,2023,2,17.481337210163474,REG,31,0,4,44,2,364
00-0029604,MIN,2023,3,1.4202402869707438,REG,32,1,3,50,4,367
00-0029604,MIN,2023,4,-10.878062953648623,REG,12,2,2,19,2,139
00-0029604,MIN,2023,5,2.5681459510758153,REG,29,0,2,47,3,284
00-0029604,MIN,2023,6,-6.169656257693803,REG,21,0,1,31,2,181
00-0029604,MIN,2023,7,12.85741865847513,REG,35,1,2,45,0,378
00-0029604,MIN,2023,8,19.499932799483048,REG,23,0,2,31,2,274
00-0029701,TEN,2023,1,-12.0429618927599,REG,16,3,0,34,3,198
00-0029701,TEN,2023,2,1.4567640593870608,REG,20,0,1,24,5,246
00-0029701,TEN,2023,3,-14.025611756842375,REG,13,0,0,25,5,104
00-0029701,TEN,2023,4,7.165728041705081,REG,18,1,1,25,3,240
00-0029701,TEN,2023,5,9.329527414469329,REG,23,1,0,34,1,264
00-0029701,TEN,2023,6,-10.508053488856875,REG,8,1,0,16,2,76
00-0029701,TEN,2023,16,-2.6874157276470214,REG,18,0,0,26,6,152
00-0029701,TEN,2023,17,-2.4355689408452954,REG,16,0,0,20,5,168
00-0029701,TEN,2023,18,0.881224628596101,REG,17,1,2,26,2,168
00-0030533,JAX,2023,17,NA,REG,0,0,0,0,0,0
00-0030565,SEA,2023,1,-4.389090738004491,REG,16,0,1,26,2,112
00-0030565,SEA,2023,2,14.869270530748487,REG,32,0,2,41,1,328
00-0030565,SEA,2023,3,5.2735152484276275,REG,23,1,1,36,2,296
00-0030565,SEA,2023,4,-9.127239332726395,REG,13,0,1,20,2,110
00-0030565,SEA,2023,6,-3.616049409648474,REG,27,2,0,41,4,326
00-0030565,SEA,2023,7,7.2816635705999575,REG,18,1,2,24,2,219
00-0030565,SEA,2023,8,2.6245567447569806,REG,23,2,2,37,1,254
00-0030565,SEA,2023,9,-14.661981639171309,REG,13,1,0,28,4,157
00-0030565,SEA,2023,10,5.205711377139459,REG,31,0,2,47,1,369
00-0030565,SEA,2023,11,5.416796529322654,REG,22,0,1,34,2,233
00-0030565,SEA,2023,12,-11.940727955094662,REG,18,1,0,27,6,180
00-0030565,SEA,2023,13,11.57318432268221,REG,23,1,3,41,0,334
00-0030565,SEA,2023,16,11.052164996637064,REG,25,0,2,36,3,227
00-0030565,SEA,2023,17,7.223915382146952,REG,23,0,1,33,1,290
00-0030565,SEA,2023,18,5.654846886358095,REG,16,0,2,28,0,189
00-0031237,DET,2023,5,NA,REG,0,0,0,0,0,0
00-0031280,NO,2023,1,3.6704846313371933,REG,23,1,1,33,4,305
00-0031280,NO,2023,2,-2.1891075282538184,REG,21,1,0,36,4,228
00-0031280,NO,2023,3,0.07446693118935999,REG,13,0,1,18,3,103
00-0031280,NO,2023,4,-12.751911281074792,REG,23,0,0,37,2,127
00-0031280,NO,2023,5,3.4477739772610976,REG,18,0,2,26,2,183
00-0031280,NO,2023,6,5.213855274451472,REG,32,1,1,50,2,353
00-0031280,NO,2023,7,-16.85071141964793,REG,33,1,1,55,1,301
00-0031280,NO,2023,8,13.525134789408185,REG,19,0,2,27,1,310
00-0031280,NO,2023,9,2.713006294238157,REG,25,0,2,34,0,211
00-0031280,NO,2023,10,-2.3130262496371943,REG,13,0,0,18,2,110
00-0031280,NO,2023,12,-1.2685188326217418,REG,24,1,0,38,1,304
00-0031280,NO,2023,13,7.331379322044086,REG,17,1,1,22,2,226
00-0031280,NO,2023,14,-9.563635846828337,REG,18,1,2,26,1,119
00-0031280,NO,2023,15,9.947751399060019,REG,23,0,3,28,1,218
00-0031280,NO,2023,16,0.7056747059687041,REG,27,1,3,40,2,319
00-0031280,NO,2023,17,9.247694994742734,REG,24,0,2,32,1,197
00-0031280,NO,2023,18,14.978746151984353,REG,22,0,4,28,2,264
00-0031288,CIN,2023,14,-1.6931319367140532,REG,1,0,0,1,0,-1
00-0031288,CIN,2023,18,-3.5579401078866795,REG,3,0,0,4,1,20
00-0031345,LV,2023,1,13.086084981785486,REG,20,1,2,26,0,200
00-0031345,LV,2023,2,-2.0070985654510527,REG,16,2,1,24,0,185
